index,question,answer,response,confidence_score
413,"Consider the country of Benin. Does the country provide for the acquisition of citizenship if parentage is established after birth and, if so, under which conditions?",No,No,
2104,"Consider the country of Georgia. Does the country provide for acquisition of citizenship by a person who makes a specific payment or invests a substantial sum of money in the country and, if so, under which conditions?",Yes,Yes,
6520,"Consider the country of Argentina. Does the country provide for involuntary loss of citizenship by a person who renders (non- military) services to a foreign country and, if so, under which conditions?",No,No,
6435,Consider the country of Zimbabwe. Does the country require the demonstration of civic knowledge or cultural integration for residence-based acquisition?,No,No,
7162,"Consider the country of Dominican Republic. Does the country provide for a citizen to voluntarily renounce his/her citizenship and, if so, under which conditions?",No,Yes,
8927,"Consider the country of Togo. Does the country provide for involuntary loss of citizenship by a person one or both of whose parents lose citizenship of the country and, if so, under which conditions?",No,No,
3212,"Consider the country of Laos. Does the country provide for acquisition of citizenship by a relative other than the spouse or child of a person who is already a citizen and, if so, under which conditions?",No,No,
8454,"Consider the country of Peru. Does the country provide for involuntary loss of citizenship by a person who renders military service to a foreign country and, if so, under which conditions?",No,No,
8871,"Consider the country of Swaziland. Does the country provide for involuntary loss of citizenship by a person who acquired citizenship as a foundling, on the basis of apparent status as a citizen, or as a presumptively stateless person if possession of a foreign citizenship is established and, if so, under which conditions?",No,No,
6618,"Consider the country of Burundi. Does the country provide for involuntary loss of citizenship by a person whose spouse or registered partner loses citizenship of the country and, if so, under which conditions?",No,No,
8525,"Consider the country of Poland. Does the country provide for involuntary loss of citizenship by a person who is adopted by or in legal guardianship of a citizen of another country and, if so, under which conditions?",No,No,
4901,Consider the country of Rwanda. Does the country provide for period of residence in a residence-based acquisition?,Yes,Yes,
428,"Consider the country of Benin. Does the country provide for acquisition of citizenship by the spouse, child or grandchild of a deceased citizen and, if so, under which conditions?",No,No,
8782,"Consider the country of Sao Tome and Principe. Does the country provide for a citizen to voluntarily renounce his/her citizenship and, if so, under which conditions?",Yes,No,
5569,"Consider the country of Chad. Does the country provide specific conditions for the acquisition of citizenship by a person in its territory who is stateless or of undetermined citizenship (different from those for residence-based acquisition) and, if so, under which conditions?",No,No,
8736,"Consider the country of El Salvador. Does the country provide for involuntary loss of citizenship by a person who acquired citizenship as a foundling, on the basis of apparent status as a citizen, or as a presumptively stateless person if possession of a foreign citizenship is established and, if so, under which conditions?",No,No,
708,"Consider the country of Belize. Does the country provide specific conditions for the acquisition of citizenship by a refugee in its territory (different from those for residence- based acquisition) and, if so, under which conditions?",No,No,
5124,"Consider the country of Sierra Leone. Does the country provide for citizen of a country in good acquisition or recognition of citizenship in case of a person who has acted as a citizen in good faith or was treated by the authorities as a citizen for some time and, if so, under which conditions?",No,No,
