index,question,answer,response,confidence_score
413,"Consider the country of Benin. Does the country provide for the acquisition of citizenship if parentage is established after birth and, if so, under which conditions?",No,No,0.8171128145973781
2104,"Consider the country of Georgia. Does the country provide for acquisition of citizenship by a person who makes a specific payment or invests a substantial sum of money in the country and, if so, under which conditions?",Yes,Yes,0.9509537482317538
6520,"Consider the country of Argentina. Does the country provide for involuntary loss of citizenship by a person who renders (non- military) services to a foreign country and, if so, under which conditions?",No,No,0.631090465921152
6435,Consider the country of Zimbabwe. Does the country require the demonstration of civic knowledge or cultural integration for residence-based acquisition?,No,No,0.6319019243541989
7162,"Consider the country of Dominican Republic. Does the country provide for a citizen to voluntarily renounce his/her citizenship and, if so, under which conditions?",No,Yes,0.6437412054371089
8927,"Consider the country of Togo. Does the country provide for involuntary loss of citizenship by a person one or both of whose parents lose citizenship of the country and, if so, under which conditions?",No,No,0.918669129681628
3212,"Consider the country of Laos. Does the country provide for acquisition of citizenship by a relative other than the spouse or child of a person who is already a citizen and, if so, under which conditions?",No,No,0.7577252314509825
8454,"Consider the country of Peru. Does the country provide for involuntary loss of citizenship by a person who renders military service to a foreign country and, if so, under which conditions?",No,No,0.5240399743748713
8871,"Consider the country of Swaziland. Does the country provide for involuntary loss of citizenship by a person who acquired citizenship as a foundling, on the basis of apparent status as a citizen, or as a presumptively stateless person if possession of a foreign citizenship is established and, if so, under which conditions?",No,No,0.8682980022557314
6618,"Consider the country of Burundi. Does the country provide for involuntary loss of citizenship by a person whose spouse or registered partner loses citizenship of the country and, if so, under which conditions?",No,No,0.813875113336544
8525,"Consider the country of Poland. Does the country provide for involuntary loss of citizenship by a person who is adopted by or in legal guardianship of a citizen of another country and, if so, under which conditions?",No,No,0.5136897174211336
4901,Consider the country of Rwanda. Does the country provide for period of residence in a residence-based acquisition?,Yes,No,0.5423239491980879
428,"Consider the country of Benin. Does the country provide for acquisition of citizenship by the spouse, child or grandchild of a deceased citizen and, if so, under which conditions?",No,No,0.6159652124494897
8782,"Consider the country of Sao Tome and Principe. Does the country provide for a citizen to voluntarily renounce his/her citizenship and, if so, under which conditions?",Yes,No,0.4154503571652458
5569,"Consider the country of Chad. Does the country provide specific conditions for the acquisition of citizenship by a person in its territory who is stateless or of undetermined citizenship (different from those for residence-based acquisition) and, if so, under which conditions?",No,No,0.9508720534158056
8736,"Consider the country of El Salvador. Does the country provide for involuntary loss of citizenship by a person who acquired citizenship as a foundling, on the basis of apparent status as a citizen, or as a presumptively stateless person if possession of a foreign citizenship is established and, if so, under which conditions?",No,No,0.8014310963340686
708,"Consider the country of Belize. Does the country provide specific conditions for the acquisition of citizenship by a refugee in its territory (different from those for residence- based acquisition) and, if so, under which conditions?",No,No,0.7301425248970628
5124,"Consider the country of Sierra Leone. Does the country provide for citizen of a country in good acquisition or recognition of citizenship in case of a person who has acted as a citizen in good faith or was treated by the authorities as a citizen for some time and, if so, under which conditions?",No,No,0.5861607969739707
8847,"Consider the country of Sweden. Does the country provide for involuntary loss of citizenship by a person who acquired citizenship at birth and does not renounce another citizenship also acquired at birth and, if so, under which conditions?",No,No,0.6554655519568477
804,"Consider the country of Barbados. Does the country provide for reacquisition of citizenship by a former citizen, and, if so, under which conditions?",No,Yes,0.4612455160713289
7532,"Consider the country of Honduras. Does the country provide for involuntary loss of citizenship by a person one or both of whose parents lose citizenship of the country and, if so, under which conditions?",No,No,0.6158925651745522
383,Consider the country of Belgium. Does the country require renunciation or loss of other citizenships for residence- based acquisition?,No,No,0.8500874906370882
3522,"Consider the country of Luxembourg. Does the country provide for extending the acquisition of citizenship to the child of a person who is acquiring citizenship and, if so, under which conditions?",Yes,No,0.0011658114194869995
7957,"Consider the country of Sri Lanka. Does the country provide for a citizen to voluntarily renounce his/her citizenship and, if so, under which conditions?",Yes,Yes,0.7386732442840003
1800,"Consider the country of Estonia. Does the country permit a parent to confer his or her citizenship on a child born abroad and, if so, under which conditions?",Yes,Yes,0.538868727325229
164,"Consider the country of Argentina. Does the country provide specific conditions for the acquisition of citizenship by a refugee in its territory (different from those for residence- based acquisition) and, if so, under which conditions?",No,No,0.5148278634257148
1078,"Consider the country of China. Does the country provide for citizen of a country in good acquisition or recognition of citizenship in case of a person who has acted as a citizen in good faith or was treated by the authorities as a citizen for some time and, if so, under which conditions?",No,No,0.5109180776426802
1395,"Consider the country of Cyprus. Does the country have a safeguard that provides for the grant of citizenship to a child of unknown parentage found in the territory and, if so, under which conditions?",No,No,0.4159969675641624
4188,Consider the country of Nigeria. Which residence conditions does the country provide for residence-based acquisition?,Yes,Yes,0.5398657024546992
9176,"Consider the country of Venezuela. Does the country provide for involuntary loss of citizenship by a person who acquires a foreign citizenship and, if so, under which conditions?",No,No,0.40127367484569554
5234,"Consider the country of South Sudan. Does the country permit a parent to confer his or her citizenship on a child born abroad and, if so, under which conditions?",Yes,No,0.4104812945686281
1629,"Consider the country of Algeria. Does the country permit a parent to confer his or her citizenship on a child born in the territory of the country of citizenship and, if so, under which conditions?",Yes,Yes,0.7395877231424675
3256,"Consider the country of Lebanon. Does the country provide specific conditions for the acquisition of citizenship by a refugee in its territory (different from those for residence- based acquisition) and, if so, under which conditions?",No,No,0.32404237226973054
2663,"Consider the country of Iran. Does the country impose a requirement related to economic resources for residence-based acquisition, such as demonstrating income level, engagement in employment or the absence of welfare dependency?",No,Yes,0.8294811692067888
284,Consider the country of Austria. Does the country require the absence of certain crimes and/or offences or proof of moral character for residence- based acquisition?,Yes,No,0.560067895204178
932,"Consider the country of Central African Republic. Does the country provide for acquisition of citizenship by the child of a person who has become a citizen (but the child did not do so at the same time) and, if so, under which conditions?",Yes,No,0.2688506360054016
73,"Consider the country of Albania. Does the country provide for the acquisition of citizenship if parentage is established after birth and, if so, under which conditions?",No,No,0.3568202183787362
3782,"Consider the country of Mali. Does the country require knowledge of a national language, and at what level of competence, for residence- based acquisition?",Yes,Yes,0.7119049564208835
7314,"Consider the country of France. Does the country provide for involuntary loss of citizenship by a person who renders military service to a foreign country and, if so, under which conditions?",Yes,No,0.32426073810597883
7437,"Consider the country of Guinea Bissau. Does the country provide for involuntary loss of citizenship by a person who acquired citizenship at birth and does not renounce another citizenship also acquired at birth and, if so, under which conditions?",No,No,0.6839958274168603
5088,"Consider the country of Solomon Islands. Does the country provide for facilitated acquisition of citizenship (on easier terms than residence-based acquisition) by a person who is a citizen of a specific country and, if so, under which conditions?",No,No,0.9758261736822316
2671,"Consider the country of Iran. Does the country provide for extending the acquisition of citizenship to the spouse or registered partner of a person who is acquiring citizenship and, if so, under which conditions?",Yes,No,0.5398054645009689
2669,"Consider the country of Iran. Does the country provide for acquisition of citizenship by the spouse, child or grandchild of a former citizen and, if so, under which conditions?",Yes,No,0.5188622161551613
8631,"Consider the country of Rwanda. Does the country provide for involuntary loss of citizenship by a person who acquired citizenship as a foundling, on the basis of apparent status as a citizen, or as a presumptively stateless person if possession of a foreign citizenship is established and, if so, under which conditions?",No,No,0.9097917049082462
5353,"Consider the country of Slovakia. Does the country provide for acquisition of citizenship by a person who is adopted by a citizen, or cared for by a similar legal arrangement, and, if so, under which conditions?",Yes,Yes,0.4663698531494011
966,"Consider the country of Canada. Does the country provide for acquisition of citizenship by the child of a person who has become a citizen (but the child did not do so at the same time) and, if so, under which conditions?",No,Yes,0.9998883044556716
223,"Consider the country of Antigua and Barbuda. Does the country provide for acquisition of citizenship by the spouse, child or grandchild of a former citizen and, if so, under which conditions?",No,Yes,0.32558910633483906
4658,"Consider the country of Poland. Does the country provide for a child to acquire citizenship based on birth in the territory if one parent was also born there, irrespective of his/her citizenship, and, if so, under which conditions?",No,Yes,0.6300199801246636
7537,"Consider the country of Croatia. Does the country provide for a citizen to voluntarily renounce his/her citizenship and, if so, under which conditions?",Yes,Yes,0.7754671356037726
5435,"Consider the country of Sweden. Does the country provide for acquisition of citizenship by a person who is in the public service (including military service) and, if so, under which conditions?",No,No,0.524154401463049
4826,"Consider the country of Romania. Does the country permit a parent to confer his or her citizenship on a child born abroad and, if so, under which conditions?",Yes,Yes,0.7373453660306988
9016,"Consider the country of Tunisia. Does the country provide for involuntary loss of citizenship by a person who acquired or retained citizenship on the condition that he or she renounced another citizenship and it is discovered that the person retains a foreign citizenship and, if so, under which conditions?",No,No,0.6962149821092025
7680,"Consider the country of Israel. Does the country provide for involuntary loss of citizenship by a person who has acquired citizenship or been recognised as a citizen as a result of fraud or misrepresentation and, if so, under which conditions?",Yes,Yes,0.9610757112321444
7193,"Consider the country of Ecuador. Does the country provide for involuntary loss of citizenship because of residence abroad and, if so, under which conditions?",No,No,0.3164813517625735
